Instance,Difficulty,Class,n,Capacity,TotalWeight,TotalProfit,Method,Value,Time(ms),Nodes,Optimal,OptimalKnown,Gap(%),TimeOut,Gap_numeric,ratio_n_capacity,ratio_capacity_n,Optimal_numeric
03InverseStronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,33968,68616,58616,Incomplete_Greedy_Random_k3,30429,4.018306732177734,0,True,-1,0.12800315084679006,False,0.12800315084679006,0.002943947244465379,339.68,1
03InverseStronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,33968,68616,58616,Incomplete_Greedy_Probabilistic_alpha0.9,28821,5.736589431762695,0,False,-1,5.405671524222135,False,5.405671524222135,0.002943947244465379,339.68,0
03InverseStronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,33968,68616,58616,Incomplete_SimulatedAnnealing,30463,923.3810901641846,12366,True,-1,0.016410660364973087,False,0.016410660364973087,0.002943947244465379,339.68,1
03InverseStronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,33968,68616,58616,Incomplete_GeneticAlgorithm,29994,564.4416809082031,5000,False,-1,1.5557306025994486,False,1.5557306025994486,0.002943947244465379,339.68,0
03InverseStronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,33968,68616,58616,Incomplete_TabuSearch,30463,8623.314142227173,1000,True,-1,0.016410660364973087,False,0.016410660364973087,0.002943947244465379,339.68,1
04AlmostStronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,68596,Complete_MIP_ORTools,35611,161.30709648132324,0,True,-1,0.0,False,0.0,0.003446255643243616,290.17,1
04AlmostStronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,68596,Complete_MIP_PuLP,35611,592.642068862915,-1,True,-1,0.0,False,0.0,0.003446255643243616,290.17,1
04AlmostStronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,68596,Incomplete_Greedy_Simple,35363,0.9965896606445312,0,True,-1,0.6964140293729466,False,0.6964140293729466,0.003446255643243616,290.17,1
04AlmostStronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,68596,Incomplete_Greedy_Random_k3,35359,11.544227600097656,0,True,-1,0.7076465137176715,False,0.7076465137176715,0.003446255643243616,290.17,1
04AlmostStronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,68596,Incomplete_Greedy_Probabilistic_alpha0.9,34389,13.185739517211914,0,False,-1,3.4315239673134705,False,3.4315239673134705,0.003446255643243616,290.17,0
