Instance,Difficulty,Class,n,Capacity,TotalWeight,TotalProfit,Method,Value,Time(ms),Nodes,Optimal,OptimalKnown,Gap(%)
01WeaklyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,57855,Incomplete_Greedy_Probabilistic_alpha0.9,29040,11.546850204467773,0,false,-1,-1.0
01WeaklyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,57855,Incomplete_SimulatedAnnealing,31012,1851.853370666504,12213,false,-1,-1.0
01WeaklyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,57855,Incomplete_GeneticAlgorithm,29937,1310.1298809051514,5000,false,-1,-1.0
01WeaklyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,57855,Incomplete_TabuSearch,31059,9174.840927124023,1000,false,-1,-1.0
01WeaklyCorrelated_n00100_R01000_s001,moyen,Unknown,100,25391,51291,50836,Complete_MIP_ORTools,27624,66.90835952758789,0,true,-1,-1.0
01WeaklyCorrelated_n00100_R01000_s001,moyen,Unknown,100,25391,51291,50836,Complete_MIP_PuLP,27624,141.0508155822754,-1,true,-1,-1.0
01WeaklyCorrelated_n00100_R01000_s001,moyen,Unknown,100,25391,51291,50836,Incomplete_Greedy_Simple,27565,0.9922981262207031,0,false,-1,-1.0
01WeaklyCorrelated_n00100_R01000_s001,moyen,Unknown,100,25391,51291,50836,Incomplete_Greedy_Random_k3,27552,12.972354888916016,0,false,-1,-1.0
01WeaklyCorrelated_n00100_R01000_s001,moyen,Unknown,100,25391,51291,50836,Incomplete_Greedy_Probabilistic_alpha0.9,25427,16.378164291381836,0,false,-1,-1.0
01WeaklyCorrelated_n00100_R01000_s001,moyen,Unknown,100,25391,51291,50836,Incomplete_SimulatedAnnealing,27565,1362.0240688323975,11272,false,-1,-1.0
01WeaklyCorrelated_n00100_R01000_s001,moyen,Unknown,100,25391,51291,50836,Incomplete_GeneticAlgorithm,26203,770.4145908355713,5000,false,-1,-1.0
01WeaklyCorrelated_n00100_R01000_s001,moyen,Unknown,100,25391,51291,50836,Incomplete_TabuSearch,27565,7788.250207901001,1000,false,-1,-1.0
02StronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,68616,Complete_MIP_ORTools,35617,79.07342910766602,45,true,-1,-1.0
02StronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,68616,Complete_MIP_PuLP,35617,110.07094383239746,-1,true,-1,-1.0
02StronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,68616,Incomplete_Greedy_Simple,35372,0.0,0,false,-1,-1.0
02StronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,68616,Incomplete_Greedy_Random_k3,35374,9.038448333740234,0,false,-1,-1.0
02StronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,68616,Incomplete_Greedy_Probabilistic_alpha0.9,34400,11.452198028564453,0,false,-1,-1.0
02StronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,68616,Incomplete_SimulatedAnnealing,35598,913.0489826202393,10388,false,-1,-1.0
02StronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,68616,Incomplete_GeneticAlgorithm,34598,638.577938079834,5000,false,-1,-1.0
02StronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,68616,Incomplete_TabuSearch,35411,6536.767244338989,1000,false,-1,-1.0
03InverseStronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,33968,68616,58616,Complete_MIP_ORTools,30467,51.435232162475586,32,true,-1,-1.0
03InverseStronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,33968,68616,58616,Complete_MIP_PuLP,30468,205.96551895141602,-1,true,-1,-1.0
03InverseStronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,33968,68616,58616,Incomplete_Greedy_Simple,30463,0.0,0,false,-1,-1.0
03InverseStronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,33968,68616,58616,Incomplete_Greedy_Random_k3,30429,4.018306732177734,0,false,-1,-1.0
03InverseStronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,33968,68616,58616,Incomplete_Greedy_Probabilistic_alpha0.9,28821,5.736589431762695,0,false,-1,-1.0
03InverseStronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,33968,68616,58616,Incomplete_SimulatedAnnealing,30463,923.3810901641846,12366,false,-1,-1.0
03InverseStronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,33968,68616,58616,Incomplete_GeneticAlgorithm,29994,564.4416809082031,5000,false,-1,-1.0
03InverseStronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,33968,68616,58616,Incomplete_TabuSearch,30463,8623.314142227173,1000,false,-1,-1.0
04AlmostStronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,68596,Complete_MIP_ORTools,35611,161.30709648132324,0,true,-1,-1.0
04AlmostStronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,68596,Complete_MIP_PuLP,35611,592.642068862915,-1,true,-1,-1.0
04AlmostStronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,68596,Incomplete_Greedy_Simple,35363,0.9965896606445312,0,false,-1,-1.0
04AlmostStronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,68596,Incomplete_Greedy_Random_k3,35359,11.544227600097656,0,false,-1,-1.0
04AlmostStronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,68596,Incomplete_Greedy_Probabilistic_alpha0.9,34389,13.185739517211914,0,false,-1,-1.0
04AlmostStronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,68596,Incomplete_SimulatedAnnealing,35588,1379.255771636963,11318,false,-1,-1.0
04AlmostStronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,68596,Incomplete_GeneticAlgorithm,34410,1194.7004795074463,5000,false,-1,-1.0
04AlmostStronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,68596,Incomplete_TabuSearch,35394,9237.109661102295,1000,false,-1,-1.0
